experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,6.486,0.001,6486,rag_051,rag,56,0.550384,sparse_k,int4,5.209458,4.182113
H5,0.5,6.486,0.001,6486,longtail_086,longtail,74,0.367763,sparse_k,int4,6.174992,5.064174
H5,0.5,6.486,0.001,6486,rag_007,rag,50,0.538277,sparse_k,int4,4.708634,3.942373
H5,0.5,6.486,0.001,6486,rag_017,rag,61,0.345607,sparse_k,int4,4.997475,4.402628
H5,0.5,6.486,0.001,6486,longtail_060,longtail,92,0.210863,sparse_k,int4,7.397526,6.190498
H5,0.5,6.486,0.001,6486,rag_037,rag,34,0.526006,int4,int4,3.391458,2.679753
H5,0.5,6.486,0.001,6486,longtail_024,longtail,53,0.318248,sparse_k,int4,4.2783,4.05885
H5,0.5,6.486,0.001,6486,rag_038,rag,41,0.409188,sparse_k,int4,3.662076,3.339652
H5,0.5,6.486,0.001,6486,longtail_030,longtail,36,0.194314,sparse_k,int4,2.67061,2.864526
H5,0.5,6.486,0.001,6486,longtail_071,longtail,34,0.201726,sparse_k,int4,2.528943,2.679753
H5,0.5,6.486,0.001,6486,longtail_028,longtail,40,0.163265,sparse_k,int4,2.853829,3.243119
H5,0.5,6.486,0.001,6486,longtail_042,longtail,24,0.236443,sparse_k,int4,1.788522,1.801123
H5,0.5,6.486,0.001,6486,longtail_032,longtail,36,0.137895,sparse_k,int4,2.501353,2.864526
H5,0.5,6.486,0.001,6486,longtail_008,longtail,48,0.06603,sparse_k,sparse_k,3.141498,3.86042
H5,0.5,12.972,0.002,6486,prefix_003,prefix,168,0.917029,sparse_k,int4,14.73146,10.522918
H5,0.5,12.972,0.002,6486,session_025,session,211,0.693205,int4,int4,18.034416,14.866774
H5,0.5,12.972,0.002,6486,prefix_017,prefix,165,0.863716,sparse_k,int4,14.288901,10.256641
H5,0.5,12.972,0.002,6486,session_029,session,253,0.546582,int4,int4,21.556766,20.06117
H5,0.5,12.972,0.002,6486,session_007,session,186,0.696013,int4,int4,15.808334,12.221332
H5,0.5,12.972,0.002,6486,session_013,session,194,0.641399,int4,int4,16.34947,13.031623
H5,0.5,12.972,0.002,6486,session_028,session,219,0.562378,int4,int4,18.376514,15.783683
H5,0.5,12.972,0.002,6486,session_030,session,195,0.602691,int4,int4,16.322135,13.135309
H5,0.5,12.972,0.002,6486,session_024,session,204,0.566105,int4,int4,17.01813,14.092466
H5,0.5,12.972,0.002,6486,prefix_004,prefix,145,0.792835,sparse_k,int4,12.255944,8.604073
H5,0.5,12.972,0.002,6486,session_021,session,192,0.595457,int4,int4,16.034512,12.825852
H5,0.5,12.972,0.002,6486,prefix_018,prefix,122,0.891456,sparse_k,int4,10.595678,6.96723
H5,0.5,12.972,0.002,6486,prefix_016,prefix,136,0.790113,sparse_k,int4,11.464852,7.929985
H5,0.5,12.972,0.002,6486,session_023,session,202,0.526862,int4,int4,16.720309,13.876033
H5,0.5,12.972,0.002,6486,prefix_002,prefix,113,0.929799,sparse_k,int4,9.985229,6.403491
H5,0.5,12.972,0.002,6486,prefix_010,prefix,129,0.806744,sparse_k,int4,10.921344,7.435547
H5,0.5,12.972,0.002,6486,prefix_012,prefix,145,0.657071,sparse_k,int4,11.848652,8.604073
H5,0.5,12.972,0.002,6486,session_022,session,122,0.75459,sparse_k,int4,10.185079,6.96723
H5,0.5,12.972,0.002,6486,session_033,session,157,0.568267,sparse_k,int4,12.661106,9.570026
H5,0.5,12.972,0.002,6486,rag_029,rag,133,0.651074,sparse_k,int4,10.791754,7.714884
H5,0.5,12.972,0.002,6486,session_016,session,158,0.520657,sparse_k,int4,12.609987,9.653987
H5,0.5,12.972,0.002,6486,rag_024,rag,133,0.595771,sparse_k,int4,10.625845,7.714884
H5,0.5,12.972,0.002,6486,rag_006,rag,97,0.761774,sparse_k,int4,8.24692,5.507906
H5,0.5,12.972,0.002,6486,prefix_009,prefix,74,0.95,sparse_k,int4,7.161852,4.459591
H5,0.5,12.972,0.002,6486,rag_022,rag,142,0.490064,sparse_k,int4,11.084158,8.374579
H5,0.5,12.972,0.002,6486,rag_020,rag,98,0.679612,sparse_k,int4,8.075491,5.559882
H5,0.5,12.972,0.002,6486,rag_016,rag,148,0.438771,sparse_k,int4,11.459722,8.838364
H5,0.5,12.972,0.002,6486,rag_045,rag,131,0.493594,sparse_k,int4,10.150049,7.574149
H5,0.5,12.972,0.002,6486,rag_026,rag,146,0.429157,sparse_k,int4,11.253287,8.681637
H5,0.5,12.972,0.002,6486,session_004,session,112,0.497442,sparse_k,int4,8.608937,6.343519
H5,0.5,12.972,0.002,6486,rag_011,rag,79,0.692923,sparse_k,int4,6.736772,4.663497
H5,0.5,12.972,0.002,6486,session_014,session,91,0.575879,sparse_k,int4,7.244712,5.207245
H5,0.5,12.972,0.002,6486,rag_046,rag,107,0.457654,sparse_k,int4,8.09763,6.051654
H5,0.5,12.972,0.002,6486,prefix_000,prefix,82,0.58405,sparse_k,int4,6.621174,4.792237
H5,0.5,12.972,0.002,6486,session_019,session,215,0.221585,int4,int4,16.98566,15.320964
H5,0.5,12.972,0.002,6486,rag_025,rag,73,0.632115,sparse_k,int4,6.1398,4.420409
